internet of things,65c52148-3685-4f6d-8533-9c0478c209a1,2017-08-02 22:55:44.184+0000,IoT in Action with Microsoft Event Highlights - San Jose,//img.youtube.com/vi/PyUmzpmygp8/hqdefault.jpg,2017-08-02 22:55:44.184+0000,f0d0f77d-6a1e-4141-af87-273969f0f509
internet of things,696f2ff7-5ee4-4add-996f-9757f7f4a2b2,2017-08-02 22:25:05.383+0000,Create the Internet of Your Things -  Microsoft's Vision for IoT,//img.youtube.com/vi/TfbMBFZbSYc/hqdefault.jpg,2017-08-02 22:25:05.383+0000,3aff13b7-6643-4cb6-ba31-30fb560047af
internet of things,9d9a9cea-25dd-4c18-8c5c-fb1592e1dc67,2017-08-02 22:59:13.262+0000,Towards a Trustworthy Industrial Internet of Things,//img.youtube.com/vi/w7nR998-574/hqdefault.jpg,2017-08-02 22:59:13.262+0000,13647292-ef7a-469e-8acc-026cefbb91c8
computer science,08ae601c-ce20-4a74-a1cd-ecf0b2e85cee,2017-08-03 00:14:41.680+0000,Female Engineers at Google,//img.youtube.com/vi/M5hvsIrQVlM/hqdefault.jpg,2017-08-03 00:14:41.680+0000,62994521-0abc-4c09-b1e0-4bfe1808f9b4
computer science,165c66aa-2c33-4b53-a76d-2b146434cb1b,2017-08-03 00:11:26.811+0000,Invariant in Computer Science,//img.youtube.com/vi/VMCVLMacmU4/hqdefault.jpg,2017-08-03 00:11:26.811+0000,72960ceb-19a2-4f57-84cc-d32214d4c0ee
computer science,1bb52205-8e75-40b4-bdf3-b2defb4ef73c,2017-08-03 00:10:11.352+0000,Computer Science Religion,//img.youtube.com/vi/mWOyB6U3egA/hqdefault.jpg,2017-08-03 00:10:11.352+0000,4ff5679e-75d9-4752-a4f1-abbee05822d4
computer science,2a5118b6-e93c-4501-b566-e8cc5a003072,2017-08-03 00:15:50.962+0000,Teach My Kid To Code,//img.youtube.com/vi/TIDwghluRG8/hqdefault.jpg,2017-08-03 00:15:50.962+0000,5daf4c0e-cf2f-46c2-afab-bad3e0df4278
computer science,2ca9f1cd-3875-4bb6-9eb7-b2dacee292ed,2017-08-03 00:13:15.625+0000,Invariants,//img.youtube.com/vi/nswkLWqYH-w/hqdefault.jpg,2017-08-03 00:13:15.625+0000,264c340a-2ca1-4615-85db-1e412f7837e6
asp.net,27c80028-edea-43ca-9a0c-54223de15513,2017-08-02 23:24:17.115+0000,Host an ASP.Net App to Azure,//img.youtube.com/vi/dp-DT4iZ5-8/hqdefault.jpg,2017-08-02 23:24:17.115+0000,2dfbe7e0-765c-4ba6-a006-a908012f6955
asp.net,b90cb409-a9d7-47ef-86bd-5fa9e500c2b7,2017-08-02 23:07:11.016+0000,Create a Web App with ASP.NET and Azure App Service,//img.youtube.com/vi/Nny013Y0jQM/hqdefault.jpg,2017-08-02 23:07:11.016+0000,aa0a4412-7198-47a5-9297-1696232ccfda
microsoft,005cfcb4-4d01-4158-a82b-885e7a172c77,2017-08-03 00:25:22.457+0000,Microsoft Enterprise Mobility Suite Overview.,//img.youtube.com/vi/vjflCjH8JuQ/hqdefault.jpg,2017-08-03 00:25:22.457+0000,da533539-4a31-42e6-9b67-e46d36699711
microsoft,00c4063e-6279-4f37-a185-bd45981a43e8,2017-08-02 23:01:58.282+0000,Microsoft Power BI Embedded,//img.youtube.com/vi/ykqFrfrUsZg/hqdefault.jpg,2017-08-02 23:01:58.282+0000,542f5625-69d7-4373-b612-595a760bb9aa
microsoft,01349b29-d8b8-44b2-a426-d6e22230ae68,2017-08-02 22:54:05.340+0000,Microsoft + Docker – Investing in the future of your applications,//img.youtube.com/vi/MGhIrApwDPk/hqdefault.jpg,2017-08-02 22:54:05.340+0000,7a982156-8392-4010-9b80-3dc7f461ab4b
microsoft,0234b798-bd18-4ddb-aa52-c2e3d731b809,2017-08-02 23:02:29.820+0000,Microsoft Edge Security with Windows Defender Application Guard (Session 1),//img.youtube.com/vi/DA4VqkiTfk4/hqdefault.jpg,2017-08-02 23:02:29.820+0000,f9a38e7b-0e23-4109-9df5-f95c9b06daca
microsoft,044ca476-394b-4ea2-ab97-0192a60223e1,2017-08-02 22:11:45.131+0000,Resello on Azure Stack,//img.youtube.com/vi/oVH-_eboXLs/hqdefault.jpg,2017-08-02 22:11:45.131+0000,d6b1709f-ad1b-41bb-b94f-7b30b0be6ba3
microsoft,0487ab26-aa0d-464f-bdfd-94910bbf209b,2017-08-02 23:16:11.939+0000,Open Source big data processing on Azure using Apache Spark,//img.youtube.com/vi/6o46fBQ3Or0/hqdefault.jpg,2017-08-02 23:16:11.939+0000,a06e3984-57db-4502-94c4-c14d65685d61
microsoft,06b333d0-0f74-429e-9247-f4b04594d904,2017-08-03 00:14:06.615+0000,Microsoft Hybrid Cloud Solution,//img.youtube.com/vi/QQEW90kKfz0/hqdefault.jpg,2017-08-03 00:14:06.615+0000,dd33f06a-0a15-4504-8b00-56fbb1803a36
microsoft,06b378d7-a010-4e4b-8a00-388cec274e61,2017-08-02 22:58:24.362+0000,Catching advanced attacks and insider threats with Microsoft ATA,//img.youtube.com/vi/XfBedurXOhc/hqdefault.jpg,2017-08-02 22:58:24.362+0000,e10047bb-f656-4f02-a7a6-e05a87607df8
microsoft,075eba0d-96b2-4392-b969-6a85cb98e9df,2017-08-02 22:41:15.094+0000,Lessons from Skype in migrating and managing large-scale Linux infrastructure on Azure IaaS,//img.youtube.com/vi/1m0LAWjULqE/hqdefault.jpg,2017-08-02 22:41:15.094+0000,be89b930-0758-404f-9471-005608efc01d
microsoft,07f2aba6-30e8-4465-a697-6d65109ba4d3,2017-08-02 23:06:13.972+0000,Office 365 Secure Score,//img.youtube.com/vi/XcLBzT59b1I/hqdefault.jpg,2017-08-02 23:06:13.972+0000,7b987e21-e396-4ad0-bb7c-39909f7236b0
microsoft,0af9669e-84ac-407e-8ed9-c5c1afaf87f4,2017-08-02 23:01:04.249+0000,What's New & Upcoming in Advanced Threat Protection,//img.youtube.com/vi/oHFbkpkwqOY/hqdefault.jpg,2017-08-02 23:01:04.249+0000,666c3bf7-45ed-4e23-90e8-eb85b92a9eff
microsoft,0ba8b4a6-a337-4ed0-a00e-e45eebbd0204,2017-08-02 22:11:10.806+0000,"Microsoft Stream: Share videos, embed them into applications or add them in Office 365 products",//img.youtube.com/vi/mhjHoi4SIME/hqdefault.jpg,2017-08-02 22:11:10.806+0000,39a87c0f-d1e9-42db-8942-a0b7a8c978e8
microsoft,0cbcd0ec-1437-49fa-afe1-884bfb698f2b,2017-08-03 00:24:25.536+0000,Julia White and Jeffrey Snover at Microsoft Ignite 2016,//img.youtube.com/vi/wSt_eWG1sx0/hqdefault.jpg,2017-08-03 00:24:25.536+0000,bd25f518-44d4-43c3-87ae-ae052dd44a98
microsoft,0d1bff36-e7bc-40bb-8ca9-1db8685ad25c,2017-08-03 00:08:40.980+0000,First Tech is Migrating to the Microsoft Cloud as Fast as it Can,//img.youtube.com/vi/cZMMoJxs_MQ/hqdefault.jpg,2017-08-03 00:08:40.980+0000,c2bd5a01-67f2-424c-b73b-26a198ffb618
microsoft,0d2abb14-85b5-484d-873c-33c6d842b6b6,2017-08-03 00:31:13.451+0000,Deploying Web Apps to Azure App Service: Creating a Web App,//img.youtube.com/vi/yL_CWzD5pLI/hqdefault.jpg,2017-08-03 00:31:13.451+0000,0e429f4b-c512-4798-86f9-1bfc67c2158d
microsoft,0e305ed0-874a-442b-8526-99f7327f61b8,2017-08-02 23:04:01.486+0000,Brad Smith introduces Microsoft Azure IP Advantage,//img.youtube.com/vi/iGITQvPCPbo/hqdefault.jpg,2017-08-02 23:04:01.486+0000,4dd0f5fa-09f2-469c-94fe-5645e51f50ac
microsoft,0fe8f43e-e626-477f-ae81-b4228ede4d0f,2017-08-02 22:23:40.028+0000,Enabling Azure SQL Database Auto-Tuning at Scale for Microsoft IT,//img.youtube.com/vi/xx7GxcIvwQc/hqdefault.jpg,2017-08-02 22:23:40.028+0000,70239c14-f58e-495a-9ae8-6a8b31f4cde4
microsoft,107fb370-ec34-4e40-a082-c289b55d4ac5,2017-08-02 22:47:39.176+0000,Microsoft Azure Open Dev | John Gossman Promo 6,//img.youtube.com/vi/NzMaqp2VjTE/hqdefault.jpg,2017-08-02 22:47:39.176+0000,841efdc4-4d87-4cf4-aec4-0c74777165ba
microsoft,1174babf-4044-40bf-a7de-56b08032dc8c,2017-08-02 23:05:51.583+0000,Microsoft Password Guidance,//img.youtube.com/vi/uTMqA2ckgqY/hqdefault.jpg,2017-08-02 23:05:51.583+0000,c2400b8d-c347-4d0f-8563-35b68ace738f
microsoft,137ea8d3-a934-4e06-a960-ec59eccb10a3,2017-08-02 23:24:41.894+0000,AzureBot with Microsoft,//img.youtube.com/vi/VvoKScawGcE/hqdefault.jpg,2017-08-02 23:24:41.894+0000,15fdb310-2ad1-48f5-8e29-73696a6ef4ba
microsoft,13a0fe05-675b-4bff-a4fb-f902a2e43e84,2017-08-02 23:12:53.266+0000,Azure Analysis Services Overview,//img.youtube.com/vi/oNCHCWEBhzM/hqdefault.jpg,2017-08-02 23:12:53.266+0000,510133c6-0fde-43c5-ac15-b87c2112dd38
microsoft,161c3e69-c2f7-4866-89bb-427dc690b0e0,2017-08-02 23:23:22.121+0000,Microsoft Authenticator,//img.youtube.com/vi/VzZFKS8AfQU/hqdefault.jpg,2017-08-02 23:23:22.121+0000,47212858-205f-452a-b111-6c472b09e482
microsoft,168b520c-4421-4c57-892e-0ab5b38a5972,2017-08-02 23:07:44.614+0000,Conditional Access: Enterprise Mobility + Security,//img.youtube.com/vi/mnV-gPxU5ic/hqdefault.jpg,2017-08-02 23:07:44.614+0000,2ab11239-3ec2-4583-afeb-75fb795ac6be
microsoft,16986762-2760-444b-9345-26c09237cb3a,2017-08-02 22:10:55.736+0000,Microsoft Stream: Leverage deep search capabilities to find the content that matters to you,//img.youtube.com/vi/RJcY4ha0KbA/hqdefault.jpg,2017-08-02 22:10:55.736+0000,a9953596-ab04-4245-a083-c14408e61c2c
